Date,Open,High,Low,Close,SENSEX_CL_OP_SPREAD,INFY_CL_OP_SPREAD,logvalue
18-Sep-25,83108.92,83141.21,82704.92,83013.96,-94.96,-0.82,0.086186148
17-Sep-25,82506.4,82741.95,82490.47,82693.71,187.31,-0.88,0.055517328
16-Sep-25,81852.11,82443.48,81779.94,82380.69,528.58,-1.09,-0.037426498
15-Sep-25,81925.51,81998.51,81744.7,81785.74,-139.77,0.97,-0.013228266
12-Sep-25,81758.95,81992.85,81641.38,81904.7,145.75,-2.59,-0.413299764
11-Sep-25,81217.3,81642.22,81216.91,81548.73,331.43,0.38,-0.420216403
10-Sep-25,81504.36,81643.88,81235.42,81425.15,-79.21,1.16,0.064457989
09-Sep-25,81129.69,81181.37,80927.97,81101.32,-28.37,-0.14,0.853871964
08-Sep-25,80904.4,81171.38,80733.07,80787.3,-117.1,-0.14,0.853871964
05-Sep-25,81012.42,81036.56,80321.19,80710.76,-301.66,-0.38,0.420216403
04-Sep-25,81456.67,81456.67,80608.94,80718.01,-738.66,0.3,-0.522878745
03-Sep-25,80295.99,80671.28,80004.6,80567.71,271.72,-0.55,0.259637311
02-Sep-25,80520.09,80761.14,80008.5,80157.88,-362.21,0.1,-1
01-Sep-25,79828.99,80406.84,79818.38,80364.49,535.5,0.32,-0.494850022
29-Aug-25,80010.83,80310.74,79741.76,79809.65,-201.18,0.72,-0.142667504
28-Aug-25,80754.66,80775.71,80013.02,80080.57,-674.09,-0.59,0.229147988
26-Aug-25,81377.39,81450.28,80685.98,80786.54,-590.85,-0.77,0.113509275
25-Aug-25,81501.06,81799.06,81364.86,81635.91,134.85,-0.93,0.031517051
22-Aug-25,81951.48,81993.61,81291.77,81306.85,-644.63,-1.46,-0.164352856
21-Aug-25,82220.46,82231.17,81921.22,82000.71,-219.75,-0.47,0.327902142
20-Aug-25,81671.47,81985.62,81494.5,81857.84,186.37,2.48,0.394451681
19-Aug-25,81319.11,81755.88,81315.44,81644.39,325.28,1.65,0.217483944
18-Aug-25,81315.79,81765.77,81202.42,81273.75,-42.04,1.18,0.071882007
14-Aug-25,80625.28,80751.18,80489.86,80597.66,-27.62,-1.85,-0.267171728
13-Aug-25,80492.17,80683.74,80319,80539.91,47.74,0.81,-0.091514981
12-Aug-25,80508.51,80997.67,80164.36,80235.59,-272.92,-0.5,0.301029996
11-Aug-25,79885.36,80636.05,79772.46,80604.08,718.72,-0.56,0.251811973
08-Aug-25,80478.01,80550.4,79775.84,79857.79,-620.22,-1.89,-0.276461804
07-Aug-25,80262.98,80737.55,79811.29,80623.26,360.28,-2.5,-0.397940009
06-Aug-25,80694.98,80834.43,80448.82,80543.99,-150.99,2.36,0.372912003
05-Aug-25,80946.43,81010.49,80554.4,80710.25,-236.18,-0.15,0.823908741
04-Aug-25,80765.83,81093.19,80500.51,81018.72,252.89,-2.32,-0.365487985
01-Aug-25,81074.41,81317.51,80495.57,80599.91,-474.5,-6.42,-0.807535028
31-Jul-25,80695.5,81803.27,80695.15,81185.58,490.08,0.7,-0.15490196
30-Jul-25,81594.52,81618.96,81187.06,81481.86,-112.66,-0.91,0.040958608
29-Jul-25,80620.25,81429.88,80575.45,81337.95,717.7,0.69,-0.161150909
28-Jul-25,81299.97,81557.41,80776.44,80891.02,-408.95,-0.1,1
25-Jul-25,82065.76,82069.51,81397.69,81463.09,-602.67,-1.72,-0.235528447
24-Jul-25,82779.95,82784.24,82047.22,82184.17,-595.78,-1.64,-0.214843848
23-Jul-25,82451.87,82786.43,82279.73,82726.64,274.77,-1.66,-0.220108088
22-Jul-25,82527.43,82538.17,82110.63,82186.81,-340.62,-0.99,0.004364805
21-Jul-25,81918.53,82274.03,81518.66,82200.34,281.81,2.08,0.318063335
